Time,Voltage(V),Battery_Status(%),Temperature(C),Pressure(Pa),GPS_Altitude(m),Arduino_Altitude(m),Calculated_Altitude(m),Accel_X(m/s^2),Accel_Y(m/s^2),Accel_Z(m/s^2),Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Quat_I,Quat_J,Quat_K,Quat_Real,Latitude,Longitude
14:31:58,1.532258,28,20.41203,1015.699,1.615,-20.36661,63256.62350814316,0.972656,4.160156,8.449219,-0.009766,-0.003906,0,-9.875,-9.375,-24.625,0.140686,-0.183594,-0.625916,0.744812,35.1749213,-76.8289568
14:31:59,1.529032,27,20.38006,1015.694,1.62,-20.32947,63249.83616157748,1.011719,4.160156,8.484375,0.001953,0.001953,-0.003906,-9.875,-10.625,-25.3125,0.139771,-0.184509,-0.625793,0.744812,35.1749214,-76.8289568
14:32:00,1.53871,28,20.34894,1015.693,1.578,-20.32245,63243.15073127406,0.933594,4.160156,8.445313,0.001953,0.001953,-0.003906,-9.875,-10.625,-25.3125,0.139771,-0.184509,-0.625793,0.744812,35.1749216,-76.8289569
14:32:01,1.529032,27,20.30212,1015.686,1.573,-20.26524,63233.20407117051,0.859375,4.195313,8.445313,0.001953,0.001953,-0.009766,-9.125,-10.75,-25.125,0.142578,-0.184509,-0.626038,0.744141,35.1749217,-76.8289572
14:32:02,1.551613,29,20.23561,1015.678,1.524,-20.19598,63219.03484423984,0.933594,4.234375,8.378906,0.001953,0.001953,-0.009766,-10.0625,-10.625,-24.5625,0.142395,-0.184998,-0.62616,0.743896,35.1749219,-76.8289572
14:32:03,1.541935,28,20.1925,1015.68,1.496,-20.21204,63209.70486768005,0.972656,4.042969,8.378906,0,0,0.007813,-8.4375,-11.125,-24.5,0.143005,-0.184692,-0.625977,0.744019,35.1749219,-76.8289573
14:32:04,1.525806,27,20.17309,1015.686,1.469,-20.25821,63205.40062466175,0.78125,4.160156,8.375,-0.015625,0.013672,-0.005859,-9.125,-10.75,-25.0625,0.146667,-0.18219,-0.625854,0.744019,35.1749219,-76.8289573
14:32:05,1.525806,27,20.1534,1015.685,1.471,-20.25319,63201.17810569863,0.742188,4.503906,8.410156,0.017578,0.011719,-0.005859,-9.0625,-9.5,-26.125,0.152649,-0.184021,-0.625549,0.742676,35.1749219,-76.8289573
14:32:06,1.535484,28,20.08916,1015.682,1.519,-20.22609,63187.39649708597,0.742188,4.273438,8.378906,-0.003906,0.001953,0,-10.125,-10,-24.875,0.152283,-0.18396,-0.626038,0.74231,35.1749219,-76.8289574
14:32:07,1.525806,27,20.07746,1015.684,1.529,-20.24617,63184.8347991757,1.394531,3.46875,8.257813,0.1875,0.214844,-0.257813,-8.8125,-11.375,-24.0625,0.153137,-0.185181,-0.62616,0.74176,35.1749219,-76.8289575
