Time,Voltage(V),Battery_Status(%),Temperature(C),Pressure(Pa),GPS_Altitude(m),Arduino_Altitude(m),Calculated_Altitude(m),Accel_X(m/s^2),Accel_Y(m/s^2),Accel_Z(m/s^2),Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Quat_I,Quat_J,Quat_K,Quat_Real,Latitude,Longitude
14:40:13,2.751613,92,26.60106,1015.626,3.955,-19.76338,64591.74700451844,-4.042969,-3.960938,9.210938,-0.035156,-0.515625,-0.373047,34.125,-8.375,-32.25,-0.261353,-0.072632,0.903809,0.330933,35.1749051,-76.8289633
14:40:14,2.732258,91,26.63389,1015.615,4.014,-19.66902,64599.04952300681,-2.628906,-1.050781,8.828125,-0.1875,-0.302734,-0.435547,28.6875,-9.125,-36.5625,-0.158081,-0.03772,0.893616,0.418396,35.174905,-76.8289627
14:40:15,2.770968,93,26.52769,1015.604,3.987,-19.57768,64576.39305432717,3.578125,-0.707031,9.332031,-0.1875,-0.302734,-0.435547,5.375,-8.0625,-45.875,0.127319,-0.113464,0.843079,0.51001,35.1749053,-76.8289604
14:40:16,2.748387,92,26.32414,1015.597,3.989,-19.52147,64532.675892385174,-1.019531,0.25,10.13672,0.619141,0.033203,-0.818359,5.375,-8.0625,-45.875,0.066101,-0.076843,0.92627,0.362915,35.1749034,-76.8289578
14:40:17,2.748387,92,26.34099,1015.598,3.947,-19.53151,64536.28612032222,-1.476563,-0.628906,9.445313,-0.337891,0.197266,-0.230469,17.1875,-17.875,-38.25,-0.099304,-0.039185,0.983826,0.143982,35.174903,-76.8289572
14:40:18,2.73871,91,26.47887,1015.602,3.907,-19.56664,64565.914482929365,-1.476563,-0.628906,9.445313,-0.238281,0.222656,0.662109,23.1875,-17.5625,-38.5,-0.099304,-0.039185,0.983826,0.143982,35.1749031,-76.8289585
14:40:19,2.758065,92,26.45147,1015.593,3.895,-19.49035,64560.19672466667,-1.132813,-0.78125,9.675781,0.009766,-0.052734,-0.337891,17.625,-19.0625,-38.625,-0.043396,-0.010681,0.951721,0.30365,35.1749041,-76.8289589
14:40:20,2.754839,92,26.37811,1015.591,3.887,-19.47329,64544.430053790864,-1.132813,-0.78125,9.675781,0.013672,-0.191406,-0.519531,17.625,-19.0625,-38.625,-0.043396,-0.010681,0.951721,0.30365,35.1749045,-76.828959
14:40:21,2.73871,91,26.24707,1015.605,3.842,-19.59073,64515.90261434601,-0.75,-0.972656,9.332031,0.259766,0.236328,-1.230469,23.75,-6.75,-43.5625,-0.069763,-0.06189,0.859863,0.501892,35.1749045,-76.8289591
14:40:22,2.729032,91,26.2739,1015.607,3.794,-19.60177,64521.64267185603,-1.707031,-1.894531,9.289063,0.091797,-0.007813,0.322266,31.125,-8.25,-35.9375,-0.12793,-0.02478,0.841064,0.524963,35.1749038,-76.8289582
14:40:23,2.754839,92,26.31958,1015.608,3.783,-19.61683,64531.46534971324,-2.089844,-3.886719,10.01953,0.224609,-0.3125,-0.351563,29.75,-3.375,-36.6875,-0.145813,-0.055725,0.847046,0.508057,35.174903,-76.8289574
14:40:24,2.780645,93,26.28789,1015.615,3.739,-19.67505,64524.49157683112,-1.859375,-3.042969,9.488281,-0.205078,-0.332031,0.154297,27.875,-3.3125,-40.0625,-0.125977,-0.057617,0.850159,0.507996,35.1749029,-76.8289569
14:40:25,2.787097,94,26.28989,1015.614,3.767,-19.66601,64524.94326559975,-1.9375,-1.394531,8.949219,-0.009766,0.134766,-0.005859,29.0625,-4.0625,-36.375,-0.141418,-0.054749,0.862793,0.4823,35.1749027,-76.8289569
14:40:26,2.796774,94,26.41265,1015.615,3.755,-19.66802,64551.37553453308,-2.472656,-2.46875,9.140625,0.019531,-0.035156,0.089844,30.4375,-7.8125,-34.75,-0.149597,-0.052307,0.877197,0.453247,35.1749022,-76.8289567
14:40:27,2.783871,93,26.52883,1015.613,3.798,-19.65598,64576.45209660953,-3.46875,-2.890625,8.378906,-0.255859,0.058594,0.634766,33.6875,-7.25,-33,-0.217163,-0.060303,0.8927,0.390259,35.1749013,-76.8289571
14:40:28,2.732258,91,26.60162,1015.617,3.823,-19.6901,64592.054330329585,-1.707031,-2.621094,9.328125,-0.255859,0.058594,0.634766,25.25,-6.375,-38.1875,-0.125366,-0.085754,0.908569,0.38916,35.1749011,-76.8289556
14:40:30,2.783871,93,26.55509,1015.603,3.723,-19.57066,64582.31811156252,4.304688,1.707031,8.40625,0.285156,-0.234375,-0.087891,2.25,-22.375,-42.4375,0.214355,-0.029907,0.872131,0.438782,35.1749013,-76.8289545
14:40:31,2.735484,91,26.35355,1015.581,3.704,-19.38797,64539.344922523596,3.847656,1.9375,9.105469,0.347656,-0.078125,0.150391,-1.4375,-24.375,-40.9375,0.267334,-0.018982,0.861511,0.431274,35.1749014,-76.8289536
14:40:32,2.754839,92,26.25278,1015.603,3.66,-19.57367,64517.1744712316,4.996094,2.589844,7.722656,-0.125,0.375,-0.199219,-2.25,-23.5625,-40.9375,0.298706,-0.020752,0.845154,0.442749,35.1749011,-76.8289536
14:40:33,2.783871,93,26.20882,1015.608,3.592,-19.61382,64507.598133877385,4.34375,2.28125,7.835938,-0.048828,0.199219,-0.267578,-2.25,-23.5625,-40.9375,0.298706,-0.020752,0.845154,0.442749,35.1748989,-76.828955
